year,fl_reg,month,Trips,Gag_catch,Gag_harvest,Gag_Discard,Gag_weight,RG_catch,RG_harvest,RG_Discard,RG_weight,RS_catch,RS_harvest,RS_Discard,RS_weight,Year,A_Gag_e,A_RS_e,A_RG_e,Date,time,sin2,sin1,cos1,cos2,A_GS_e,Index_Gag,Index_RS,Index_RG,A_Gag,A_RS,A_RG,Bag_gag,Bag_RS,Bag_RG,Month,M_Gag,M_RS,M_RG,S_Gag,S_RG,S_RS,S_Gag2,S_RG2,S_RS2,Pop,Income,Fuel,Region,Fishable,FIR,S_GagL,S_RSL,S_RGL,S_Gag2L,S_RS2L,S_RG2L,S_GagD,S_RSD,S_RGD,S_Gag2D,S_RS2D,S_RG2D,Gag_searches,RG_searches,RS_searches,Snapper_searches,Grouper_searches
2015,2,1,416942.402370998,17701.264795891,0,17701.264795891,0,251314.636945974,40715.5950902607,210599.041855713,131948.303860036,0,0,0,0,12,0.51938,1.64811,0.64254,2015-01-01,0,0,0,1,1,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,1,0,0,1,156,281,79,156,281,51,1112037,48764.0449438202,2.13092468442839,Peninsula,0.967741935483871,2.28839833243101,0,0,5.63835466933375,0,0,5.63835466933375,0,0,2.81,0,0,2.81,42,21,14,30,44
2015,1,2,110445.06109284,171.13686275,0,171.13686275,0,0,0,0,0,285898.44281927,0,285898.44281927,0,12,0.51938,1.64811,0.64254,2015-02-01,31,0.875891705144243,0.508670943852104,0.860961015888994,0.482507741761218,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,2,0,0,1,156,281,79,156,281,51,1112037,48764.0449438202,2.19549389620337,Panhandle,0.892857142857143,2.22109681234583,0,0,5.63835466933375,0,0,5.63835466933375,0,0,2.81,0,0,2.81,46,13,23,34,37
2015,2,2,390269.872571093,17231.603049141,0,17231.603049141,0,79369.088003546,65841.9563323492,13527.131671255,241055.05986063,0,0,0,0,12,0.51938,1.64811,0.64254,2015-02-01,31,0.875891705144243,0.508670943852104,0.860961015888994,0.482507741761218,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,2,0,0,1,156,281,79,156,281,51,1112037,48764.0449438202,2.19549389620337,Peninsula,0.964285714285714,2.22109681234583,0,0,5.63835466933375,0,0,5.63835466933375,0,0,2.81,0,0,2.81,46,13,23,34,37
2015,1,3,252461.882756842,424.83729714,0,424.83729714,0,9232.19462212032,6813.06549407032,2419.12912805,30190.0642167867,49434.028833064,326.24537779,49107.783455274,580.7167724662,12,0.51938,1.64811,0.64254,2015-03-01,59,0.895839290734909,0.849817091527528,0.527077708642372,-0.444378178104613,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,3,0,0,1,156,281,79,156,281,51,1112037,48764.0449438202,2.4384269731853,Panhandle,1,1.99981567953705,0,0,5.63835466933375,0,0,5.63835466933375,0,0,2.81,0,0,2.81,45,29,27,43,48
2015,2,3,502250.966473293,89128.840859168,0,89128.840859168,0,293246.588097069,21374.310456154,271872.2776411,69025.7120485114,0,0,0,0,12,0.51938,1.64811,0.64254,2015-03-01,59,0.895839290734909,0.849817091527528,0.527077708642372,-0.444378178104613,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,3,0,0,1,156,281,79,156,281,51,1112037,48764.0449438202,2.4384269731853,Peninsula,1,1.99981567953705,0,0,5.63835466933375,0,0,5.63835466933375,0,0,2.81,0,0,2.81,45,29,27,43,48
2015,1,4,362929.12576844,91.311358318,0,91.311358318,0,1137.04459170495,1137.04459170495,0,4110.91536483778,104667.071591686,0,104667.071591686,0,12,0.51938,1.64811,0.64254,2015-04-01,90,0.0430222330045306,0.999768501979891,0.0215160974362223,-0.99907411510223,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,4,0,0,1,156,281,79,156,281,51,1112037,48764.0449438202,2.46299680245978,Panhandle,1,1.97986635204398,0,0,5.63835466933375,0,0,5.63835466933375,0,0,2.81,0,0,2.81,43,24,35,48,49
2015,2,4,517171.866287111,14904.001258331,0,14904.001258331,0,168331.501429813,21487.0961226541,146844.405307122,68828.1993712956,0,0,0,0,12,0.51938,1.64811,0.64254,2015-04-01,90,0.0430222330045306,0.999768501979891,0.0215160974362223,-0.99907411510223,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,4,0,0,1,156,281,79,156,281,51,1112037,48764.0449438202,2.46299680245978,Peninsula,1,1.97986635204398,0,0,5.63835466933375,0,0,5.63835466933375,0,0,2.81,0,0,2.81,43,24,35,48,49
2015,1,5,792797.550628565,4353.16518307,0,4353.16518307,0,15022.6814588778,4428.47717619775,10594.20428268,25041.9844130164,193832.420930154,69911.7965092206,123920.624420933,182842.700954515,12,0.51938,1.64811,0.64254,2015-05-01,120,-0.835925479418636,0.880012203973536,-0.47495107206705,-0.54884295828472,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,5,0,0.290322580645161,1,156,281,79,156,281,51,1112037,48764.0449438202,2.58712027523362,Panhandle,1,1.88487738319073,0,1.26854937652268,5.63835466933375,0,1.14149776433932,5.63835466933375,0,0.229354838709677,2.81,0,0.148064516129032,2.81,48,23,48,56,62
2015,2,5,389520.635575913,10752.667594641,0,10752.667594641,0,280866.659392134,45588.8000985453,235277.859293784,140706.347376904,594.71979008,0,594.71979008,0,12,0.51938,1.64811,0.64254,2015-05-01,120,-0.835925479418636,0.880012203973536,-0.47495107206705,-0.54884295828472,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,5,0,0.290322580645161,1,156,281,79,156,281,51,1112037,48764.0449438202,2.58712027523362,Peninsula,1,1.88487738319073,0,1.26854937652268,5.63835466933375,0,1.14149776433932,5.63835466933375,0,0.229354838709677,2.81,0,0.148064516129032,2.81,48,23,48,56,62
2015,1,6,1625063.27662829,44737.300482828,439.04522507,44298.255257758,1150.2984896834,10358.2964933999,6579.31493206893,3778.981561331,29041.3450718502,356884.221849889,242755.76432175,114128.457527694,715172.644065288,12,0.51938,1.64811,0.64254,2015-06-01,151,-0.884067509943364,0.516062391015853,-0.856550995901004,0.467359217158002,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,6,0,1,1,156,281,79,156,281,51,1112037,48764.0449438202,2.6622931141061,Panhandle,1,1.83165575140638,0,4.36944785246702,5.63835466933375,0,3.93182563272433,5.63835466933375,0,0.79,2.81,0,0.51,2.81,48,23,60,67,62
2015,2,6,788765.020403693,20547.225363563,0,20547.225363563,0,400860.085283739,101761.277757047,299098.807526825,313630.701158657,24960.0424417435,9745.25838200243,15214.784059792,28170.1103509063,12,0.51938,1.64811,0.64254,2015-06-01,151,-0.884067509943364,0.516062391015853,-0.856550995901004,0.467359217158002,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,6,0,1,1,156,281,79,156,281,51,1112037,48764.0449438202,2.6622931141061,Peninsula,1,1.83165575140638,0,4.36944785246702,5.63835466933375,0,3.93182563272433,5.63835466933375,0,0.79,2.81,0,0.51,2.81,48,23,60,67,62
2015,1,7,1624944.80275356,9632.54583960372,7482.78993799372,2149.75590161,38823.3322075528,15308.8119246887,9696.90959135367,5611.902333335,37964.8467486854,392714.668840291,111829.825410728,280884.843427024,194143.349917203,12,0.51938,1.64811,0.64254,2015-07-01,181,-0.0516196672232542,0.0258184402271331,-0.999666648510511,0.998666816288476,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,7,1,0.387096774193548,1,156,281,79,156,281,51,1112037,48764.0449438202,2.57817284757666,Panhandle,1,1.89141876153322,5.04985600724954,1.69139916869691,5.63835466933375,5.04985600724954,1.52199701911909,5.63835466933375,1.56,0.305806451612903,2.81,1.56,0.197419354838709,2.81,54,30,37,63,70
2015,2,7,1638831.58359911,84746.8651888983,52648.6969083943,32098.168280504,173946.404993111,384015.384846493,80167.8433474366,303847.54149907,243556.02373478,6997.748789894,174.312904876,6823.435885018,339.9101645082,12,0.51938,1.64811,0.64254,2015-07-01,181,-0.0516196672232542,0.0258184402271331,-0.999666648510511,0.998666816288476,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,7,1,0.387096774193548,1,156,281,79,156,281,51,1112037,48764.0449438202,2.57817284757666,Peninsula,1,1.89141876153322,5.04985600724954,1.69139916869691,5.63835466933375,5.04985600724954,1.52199701911909,5.63835466933375,1.56,0.305806451612903,2.81,1.56,0.197419354838709,2.81,54,30,37,63,70
2015,1,8,799267.71744878,27859.8571254374,9544.5214014374,18315.335724,43828.1304795513,22584.7367769036,22222.2982748736,362.43850203,61938.2951059846,110669.793751193,362.43850203,110307.355249163,471.170052639,12,0.51938,1.64811,0.64254,2015-08-01,212,0.849817091527527,-0.48627270710869,-0.873807103611081,0.527077708642373,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,8,1,0,1,156,281,79,156,281,51,1112037,48764.0449438202,2.34267741584051,Panhandle,1,2.08155184380452,5.04985600724954,0,5.63835466933375,5.04985600724954,0,5.63835466933375,1.56,0,2.81,1.56,0,2.81,46,26,30,54,51
2015,2,8,806223.769759508,36103.172500788,4430.66273653287,31672.509764212,13449.1327187464,418905.441444829,64486.5725267002,354418.868918398,197269.953542075,596.19613376,0,596.19613376,0,12,0.51938,1.64811,0.64254,2015-08-01,212,0.849817091527527,-0.48627270710869,-0.873807103611081,0.527077708642373,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,8,1,0,1,156,281,79,156,281,51,1112037,48764.0449438202,2.34267741584051,Peninsula,0.935483870967742,2.08155184380452,5.04985600724954,0,5.63835466933375,5.04985600724954,0,5.63835466933375,1.56,0,2.81,1.56,0,2.81,46,26,30,54,51
2015,1,9,806233.586092857,6786.46538405663,56.7361196566313,6729.7292644,510.625076941007,2692.75570248,0,2692.75570248,0,335079.498787046,114785.199658798,220294.299128248,228697.112851307,12,0.51938,1.64811,0.64254,2015-09-01,243,0.871706318709322,-0.863142128049911,-0.504961054721521,-0.490028666429058,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,9,1,0.433333333333333,1,156,281,79,156,281,51,1112037,48764.0449438202,2.12169189227748,Panhandle,0.966666666666667,2.29835656729006,5.04985600724954,1.89342740273571,5.63835466933375,5.04985600724954,1.70379110751387,5.63835466933375,1.56,0.342333333333333,2.81,1.56,0.221,2.81,47,15,27,48,35
2015,2,9,585459.7250258,61133.2898786918,5142.23739102177,55991.05248767,15441.0784212028,228789.783774414,31517.4304555366,197272.353319073,91881.2532416562,2219.99805316,0,2219.99805316,0,12,0.51938,1.64811,0.64254,2015-09-01,243,0.871706318709322,-0.863142128049911,-0.504961054721521,-0.490028666429058,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,9,1,0.433333333333333,1,156,281,79,156,281,51,1112037,48764.0449438202,2.12169189227748,Peninsula,1,2.29835656729006,5.04985600724954,1.89342740273571,5.63835466933375,5.04985600724954,1.70379110751387,5.63835466933375,1.56,0.342333333333333,2.81,1.56,0.221,2.81,47,15,27,48,35
2015,1,10,683708.169392349,2341.00363334336,206.403350513359,2134.60028283,1191.69299721311,2640.62452228438,2640.62452228438,0,12741.4957368171,146945.69644596,32532.9095298371,114412.786916123,65575.7371976929,12,0.51938,1.64811,0.64254,2015-10-01,273,0.0258184402271342,-0.999916658654738,-0.0129102960750097,-0.999666648510511,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,10,1,0.451612903225806,0.258064516129032,156,281,79,156,281,51,1112037,48764.0449438202,2.12104577108155,Panhandle,0.838709677419355,2.29905670158899,5.04985600724954,1.97329903014639,1.45505926950548,5.04985600724954,1.77566318897227,1.45505926950548,1.56,0.356774193548387,0.72516129032258,1.56,0.230322580645161,0.72516129032258,43,24,23,40,38
2015,2,10,409358.432124688,95150.2420626843,18924.8405046903,76225.401557994,65826.9720411312,168978.748959964,4904.72810365998,164074.020856329,15078.3341000208,13306.233608,0,13306.233608,0,12,0.51938,1.64811,0.64254,2015-10-01,273,0.0258184402271342,-0.999916658654738,-0.0129102960750097,-0.999666648510511,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,10,1,0.451612903225806,0.258064516129032,156,281,79,156,281,51,1112037,48764.0449438202,2.12104577108155,Peninsula,0.967741935483871,2.29905670158899,5.04985600724954,1.97329903014639,1.45505926950548,5.04985600724954,1.77566318897227,1.45505926950548,1.56,0.356774193548387,0.72516129032258,1.56,0.230322580645161,0.72516129032258,43,24,23,40,38
2015,1,11,183833.226585408,43545.9296091186,33948.0686999186,9597.8609092,104936.854921926,0,0,0,0,204.379973698,0,204.379973698,0,12,0.51938,1.64811,0.64254,2015-11-01,304,-0.863142128049911,-0.867456354729597,0.49751328890718,-0.504961054721521,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,11,1,0.0333333333333333,0,156,281,79,156,281,51,1112037,48764.0449438202,2.07461189549189,Panhandle,0.8,2.35051409132397,5.04985600724954,0.145648261748901,0,5.04985600724954,0.131060854424144,0,1.56,0.0263333333333333,0,1.56,0.017,0,54,17,20,34,39
2015,2,11,1186512.53643502,284733.200741854,115994.171764987,168739.02897623,552240.342706581,290635.263753472,44.4530851677508,290590.810668304,111.132712917789,189.033766425,0,189.033766425,0,12,0.51938,1.64811,0.64254,2015-11-01,304,-0.863142128049911,-0.867456354729597,0.49751328890718,-0.504961054721521,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,11,1,0.0333333333333333,0,156,281,79,156,281,51,1112037,48764.0449438202,2.07461189549189,Peninsula,1,2.35051409132397,5.04985600724954,0.145648261748901,0,5.04985600724954,0.131060854424144,0,1.56,0.0263333333333333,0,1.56,0.017,0,54,17,20,34,39
2015,1,12,2185.907324724,0,0,0,0,0,0,0,0,5388.8356668,0,5388.8356668,0,12,0.51938,1.64811,0.64254,2015-12-01,334,-0.875891705144243,-0.508670943852105,0.860961015888994,0.482507741761217,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,12,0.0967741935483871,0,0,156,281,79,156,281,51,1112037,48764.0449438202,1.98618972680082,Panhandle,0.806451612903226,2.455155430814,0.488695742637052,0,0,0.488695742637052,0,0,0.150967741935484,0,0,0.150967741935484,0,0,69,21,27,37,42
2015,2,12,215734.66967475,23546.72438772,0,23546.72438772,0,116885.92758092,894.49962699,115991.42795393,2343.5890227138,0,0,0,0,12,0.51938,1.64811,0.64254,2015-12-01,334,-0.875891705144243,-0.508670943852105,0.860961015888994,0.482507741761217,1.5,NA,NA,NA,1.17205,1.85102,0.82707,2,2,4,12,0.0967741935483871,0,0,156,281,79,156,281,51,1112037,48764.0449438202,1.98618972680082,Peninsula,1,2.455155430814,0.488695742637052,0,0,0.488695742637052,0,0,0.150967741935484,0,0,0.150967741935484,0,0,69,21,27,37,42
2016,1,1,172160.61973774,0,0,0,0,0,0,0,0,84131.05855303,0,84131.05855303,0,13,1.17205,1.85102,0.82707,2016-01-01,0,0,0,1,1,1.33,NA,NA,NA,1.5162,2.38565,0.39169,2,2,2,1,0,0,1,183,365,71,183,365,44,1173075,50535.8788676761,1.89212271007293,Panhandle,0.903225806451613,2.6708563138449,0,0,5.89989735358249,0,0,5.89989735358249,0,0,3.65,0,0,3.65,39,17,24,40,44
