year,fl_reg,month,Trips
2007,2,12,921801.955759506
2007,2,2,133643.85675427
2007,2,3,326130.47683224
2007,2,4,275666.023454878
2007,2,5,207182.28921461
2007,2,6,311160.86807836
2007,2,7,743112.79751996
2007,2,8,165102.62758988
2007,2,9,171136.13500377
2008,1,1,184789.788073898
2008,1,10,385020.6544413
2008,1,11,89833.637400824
2008,1,12,947421.73292054
2008,1,2,280163.641359292
2008,1,3,3992444.13235551
2008,1,4,154441.65596223
2008,1,5,301771.335668784
2008,1,6,1683396.68458841
2008,1,7,1285824.67900863
2008,1,8,461185.286092932
2008,1,9,562647.683296647
2008,2,1,558006.18712221
2008,2,10,259270.09082408
2008,2,11,539486.406913488
2008,2,12,688561.991686406
2008,2,2,1232624.51891714
2008,2,3,969399.249124926
2008,2,4,419675.607400643
2008,2,5,646782.5576477
2008,2,6,960318.7713167
2008,2,7,756474.684639188
2008,2,8,282509.60886772
2008,2,9,330681.1741975
2009,1,1,208078.587899328
2009,1,10,42813.508671647
2009,1,11,301593.009595694
2009,1,12,12108.732806196
2009,1,2,1393.5994411464
2009,1,3,75355.74631304
2009,1,4,515113.43277171
2009,1,5,467895.589893957
2009,1,6,1859093.18147079
2009,1,7,1983320.51634186
2009,1,8,1237588.37506289
2009,1,9,152472.668105857
2009,2,1,832437.023769132
2009,2,10,656850.67981376
2009,2,11,580390.461192336
2009,2,12,400114.587012988
2009,2,2,126274.435715976
2009,2,3,156355.86865492
2009,2,4,316405.95001717
2009,2,5,568661.54864462
2009,2,6,855245.22953288
2009,2,7,485319.85878788
2009,2,8,634014.63319295
2009,2,9,175328.42068168
2010,1,1,156415.7165935
2010,1,10,1565065.20807667
2010,1,11,1143217.60923937
2010,1,12,1032.6277634
2010,1,2,256197.221514036
2010,1,3,113151.987312733
2010,1,4,236931.201040343
2010,1,5,283977.691679909
2010,1,6,1685108.82849087
2010,1,7,425665.446861188
2010,1,8,95155.985189413
2010,1,9,319865.259124383
2010,2,1,275502.833080862
2010,2,10,473466.85166366
2010,2,11,2409582.49106997
2010,2,12,337553.24697115
2010,2,2,82629.0842692
2010,2,3,126065.513500366
2010,2,4,835247.02245622
2010,2,5,669571.72827109
2010,2,6,268135.61095347
2010,2,7,485830.20944714
2010,2,8,222990.02180514
2010,2,9,546949.823022284
2011,1,1,87584.55581481
2011,1,10,303565.410474257
2011,1,11,148313.578361982
2011,1,12,25081.2742018106
2011,1,2,35597.644890903
2011,1,3,277357.243491227
2011,1,4,453827.886053443
2011,1,5,490191.791699347
2011,1,6,3461902.44478617
2011,1,7,1248883.06751753
2011,1,8,292855.866620334
2011,1,9,559261.84890217
2011,2,1,195420.802974542
2011,2,10,491144.175954959
2011,2,11,758631.3887031
2011,2,12,435879.934891235
2011,2,2,92399.764029982
2011,2,3,181734.7105068
2011,2,4,1294994.27555837
2011,2,5,585518.43424582
2011,2,6,223969.620608982
2011,2,7,819624.110431816
2011,2,8,352892.18664686
2011,2,9,483415.37986215
2012,1,1,142438.296753217
2012,1,10,126146.420872087
2012,1,11,58568.318593117
2012,1,12,269996.24381178
2012,1,2,89.96430418
2012,1,3,117701.23978078
2012,1,4,1136327.84691286
2012,1,5,616262.376920093
2012,1,6,2573428.04907211
2012,1,7,1588885.50685079
2012,1,8,350980.738372549
2012,1,9,384827.561676072
2012,2,1,442792.57451637
2012,2,10,473979.541577568
2012,2,11,165667.749720276
2012,2,12,722597.739769345
2012,2,2,1028575.12657467
2012,2,3,100464.95129934
2012,2,4,727285.391055732
2012,2,5,1025728.91382685
2012,2,6,289372.1498974
2012,2,7,887752.281081398
2012,2,8,437736.197512163
2012,2,9,572663.179690545
2013,1,1,2790.877662115
2013,1,10,4768003.01305443
2013,1,11,57131.7480222
2013,1,12,119614.0455582
2013,1,2,94150.1340949778
2013,1,3,455313.913510375
2013,1,4,10776.72210948
2013,1,5,890479.21894899
2013,1,6,4254513.8809707
2013,1,7,62086.622518568
2013,1,8,363608.133909384
2013,1,9,885948.812696254
2013,2,1,856257.853762587
2013,2,10,1015577.63731006
2013,2,11,932938.178886325
2013,2,12,643029.32175516
2013,2,2,280678.38284814
2013,2,3,460713.82436762
2013,2,4,288672.68325348
2013,2,5,558177.31032498
2013,2,6,1208483.15963019
2013,2,7,1414201.38449751
2013,2,8,1628276.59440027
2013,2,9,601118.985390462
2014,1,10,129278.313144933
2014,1,11,153036.56731213
2014,1,12,19078.6702751
2014,1,2,60391.364124
2014,1,3,23182.654521442
2014,1,4,325344.328055649
2014,1,5,1078624.42072754
2014,1,6,1713818.93777963
2014,1,7,1620609.56100146
2014,1,8,675234.144783605
2014,1,9,155904.162570124
2014,2,1,163399.47043464
2014,2,10,286470.09541502
2014,2,11,973865.346523873
2014,2,12,680419.856435043
2014,2,2,368417.839432654
2014,2,3,578767.956385785
2014,2,4,870403.112370086
2014,2,5,533017.962560906
2014,2,6,1026238.91266351
2014,2,7,2909654.08321734
2014,2,8,1635089.97434055
2014,2,9,658355.085471771
2015,1,1,24938.164088783
2015,1,10,683708.169392349
2015,1,11,183833.226585408
2015,1,12,2185.907324724
2015,1,2,110445.06109284
2015,1,3,252461.882756842
2015,1,4,362929.12576844
2015,1,5,792797.550628565
2015,1,6,1625063.27662829
2015,1,7,1624944.80275356
2015,1,8,799267.71744878
2015,1,9,806233.586092857
2015,2,1,416942.402370998
2015,2,10,409358.432124688
2015,2,11,1186512.53643502
2015,2,12,215734.66967475
2015,2,2,390269.872571093
2015,2,3,502250.966473293
2015,2,4,517171.866287111
2015,2,5,389520.635575913
2015,2,6,788765.020403693
2015,2,7,1638831.58359911
2015,2,8,806223.769759508
2015,2,9,585459.7250258
2016,1,1,172160.61973774
2016,1,10,385639.720974143
2016,1,11,579670.19931131
2016,1,12,28078.825284838
2016,1,2,400866.876351008
2016,1,3,25310.758026613
2016,1,4,543470.142469752
2016,1,5,1829414.71644338
2016,1,6,2074099.70486961
2016,1,7,1418043.95161401
2016,1,8,355287.030320436
2016,1,9,1217308.99163241
2016,2,1,968000.46815908
2016,2,10,135629.077495582
2016,2,11,441398.83925198
2016,2,12,686124.420000698
2016,2,2,252589.65784262
2016,2,3,409538.747685348
2016,2,4,473049.837695082
2016,2,5,542478.363875375
2016,2,6,1223524.55094663
2016,2,7,1971695.25104036
2016,2,8,366149.44642016
2016,2,9,1042932.24289237
2017,1,1,100951.15607593
2017,1,10,214694.35824726
2017,1,11,168525.46500216
2017,1,12,54066.387544928
2017,1,2,223728.44888968
2017,1,3,194183.864245197
2017,1,4,373945.884492348
2017,1,5,1711641.78482703
2017,1,6,6676414.0121435
2017,1,7,2214223.35656426
2017,1,8,544126.87150933
2017,1,9,589238.087691078
2017,2,1,388436.164378998
2017,2,10,118006.877094371
2017,2,11,788270.269800418
2017,2,12,2895335.64877581
2017,2,2,265267.739730078
2017,2,3,438447.85226983
2017,2,4,259860.83228333
2017,2,5,244221.12213951
2017,2,6,1289736.36127102
2017,2,7,1091012.06573071
2017,2,8,517208.972233296
2017,2,9,322610.766817435
2018,1,10,24558.301317444
2018,1,11,5453.4554402
2018,1,12,41899.36819998
2018,1,2,13598.1056322
2018,1,3,128354.645709094
2018,1,4,420992.56029659
2018,1,5,1604581.23332101
2018,1,6,5774372.62996074
2018,1,7,3915449.10936383
2018,1,8,1243702.33156455
2018,1,9,753720.439306239
2018,2,1,199973.125605149
2018,2,10,177960.729061208
2018,2,11,657249.679995551
2018,2,12,567051.446004889
2018,2,2,1008647.82138365
2018,2,3,616244.430120238
2018,2,4,527468.91793413
2018,2,5,339440.230238082
2018,2,6,1274570.04941934
2018,2,7,523297.693739844
2018,2,8,1657124.20803174
2018,2,9,664241.849673711
2019,1,10,1301404.70952001
2019,1,11,32162.331856818
2019,1,12,238967.090679005
2019,1,2,18533.9836386
2019,1,3,731930.403738582
2019,1,4,368482.662670031
2019,1,5,602243.337572748
2019,1,6,4486952.28930081
2019,1,7,2925645.1581217
2019,1,8,545461.406201792
2019,1,9,183487.612101304
2019,2,1,139960.240263403
2019,2,10,331769.521918158
2019,2,11,1312452.78933328
2019,2,12,312488.53826539
2019,2,2,637562.102035671
2019,2,3,194866.916836025
2019,2,4,339394.75696136
2019,2,5,393835.73612083
2019,2,6,1932315.44616217
2019,2,7,468388.108989414
2019,2,8,522893.072835946
2019,2,9,170024.452327606
2020,1,10,124853.74251009
2020,1,11,1318478.92520959
2020,1,12,29819.285383088
2020,1,2,657.1887744
2020,1,3,461620.116675435
2020,1,4,198161.611753777
2020,1,5,976153.595001474
2020,1,6,4036395.49932584
2020,1,7,3092317.46689713
2020,1,8,135111.993574891
2020,1,9,1636482.34852409
2020,2,1,1096322.13797472
2020,2,10,384050.46712211
2020,2,11,243927.523167675
2020,2,12,782386.223946752
2020,2,2,24794.52647153
2020,2,3,471244.553210073
2020,2,4,282315.660787047
2020,2,5,916944.450912374
2020,2,6,1246498.5828013
2020,2,7,584361.63940748
2020,2,8,283163.810072792
2020,2,9,1304324.90074443
2021,1,1,474.834280153
2021,1,10,352533.115964423
2021,1,11,306670.085692488
2021,1,12,147588.935986655
2021,1,2,5045.0496967726
2021,1,3,57093.951504044
2021,1,4,66995.516566491
2021,1,5,688075.245161842
2021,1,6,2684361.53524334
2021,1,7,2071178.1802748
2021,1,8,823039.511937414
2021,1,9,283451.939053861
2021,2,1,231932.438346448
2021,2,10,237471.985825464
2021,2,11,655603.657467627
2021,2,12,1250066.66458456
2021,2,2,335263.819994486
2021,2,3,203938.68876766
2021,2,4,439422.901954
2021,2,5,615177.54230926
2021,2,6,1157458.38772231
2021,2,7,1434229.85780491
2021,2,8,255843.694509171
2021,2,9,372151.429598405
2022,1,1,249892.31274
2022,1,10,324266.618499506
2022,1,11,5687.260816
2022,1,12,51536.2853228
2022,1,2,405255.008809533
2022,1,3,346804.809805362
2022,1,4,198644.070077928
2022,1,5,2243778.99663515
2022,1,6,3762191.14411681
2022,1,7,6144168.58711713
2022,1,8,694023.609330605
2022,1,9,107466.79350898
2022,2,1,528388.94175088
2022,2,10,332554.03150182
2022,2,11,367424.133371043
2022,2,12,1662761.39714396
2022,2,2,490254.786656874
2022,2,3,284031.807520528
2022,2,4,268929.26448869
2022,2,5,610125.128186889
2022,2,6,1842718.37849385
2022,2,7,1985956.65880468
2022,2,8,662061.86248245
2022,2,9,557153.07968075
2023,1,1,179316.1436216
2023,1,10,1317905.88959753
2023,1,11,969249.29866178
2023,1,12,59995.336174
2023,1,2,127551.66833743
2023,1,3,98159.70047086
2023,1,4,547417.766643332
2023,1,5,1278894.47705794
2023,1,6,2173744.48875788
2023,1,7,2790391.92208458
2023,1,8,868408.690281314
2023,1,9,1575802.22113213
2023,2,1,607845.491362886
2023,2,10,650040.984764223
2023,2,11,722080.91342593
2023,2,12,690526.905950003
2023,2,2,1076212.45234693
2023,2,3,526568.219741015
2023,2,4,860010.494624467
2023,2,5,499619.553058117
2023,2,6,1533662.56073957
2023,2,7,2139355.65615115
2023,2,8,1035688.73230174
2023,2,9,364148.852227319
