"year","fl_reg","month","Gag_catch","Gag_harvest","Gag_Discard","Gag_weight"
"2012","1","9",58733.2894528464,6565.7175467694,52167.571906077,20057.7379606686
"2012","2","1",189392.376300731,0,189392.376300731,0
"2012","2","10",112959.912659666,34785.3250624812,78174.587597174,110326.005143717
"2012","2","11",48979.981640742,0,48979.981640742,0
"2012","2","12",69584.332831888,0,69584.332831888,0
"2012","2","2",113768.720774197,0,113768.720774197,0
"2012","2","3",45676.807218517,1056.63784186,44620.169376657,3243.8781745102
"2012","2","4",294735.217468473,0,294735.217468473,0
"2012","2","5",109372.07886121,0,109372.07886121,0
"2012","2","6",41450.20037146,2205.7243077,39244.47606376,6828.9224566392
"2012","2","7",195483.467408204,47750.587853203,147732.879555001,152109.373061064
"2012","2","8",26614.4604847331,5968.37814212112,20646.082342612,20682.1822223118
"2012","2","9",171802.760109947,17420.2768944943,154382.483215488,59794.0358959966
"2013","1","1",26445.3412170072,0,26445.3412170072,0
"2013","1","10",35251.6610694395,2677.63543141954,32574.02563802,9918.36949545552
"2013","1","11",0,0,0,0
"2013","1","12",0,0,0,0
"2013","1","2",0,0,0,0
"2013","1","3",30863.00989982,0,30863.00989982,0
"2013","1","4",898.06017579,0,898.06017579,0
"2013","1","5",138251.255162631,20784.5202491505,117466.73491348,49675.0033951443
"2013","1","6",68305.2701825723,3429.13692417233,64876.1332584,19031.7099287099
"2013","1","7",1872.88237548079,1872.88237548079,0,5747.11607296793
"2013","1","8",5621.42147079229,4081.06924406229,1540.35222673,12098.7475395978
"2013","1","9",2171.96491183699,1024.87520875699,1147.08970308,5700.69409079173
"2013","2","1",127625.803854713,1983.6277632,125642.176091513,6982.369726464
"2013","2","10",81581.5157935175,18785.7730968055,62795.742696712,63632.3105160893
"2013","2","11",287456.919916491,69161.3699278991,218295.549988592,202184.259742519
"2013","2","12",95828.9006816891,9440.58228349207,86388.318398197,22997.3869857502
"2013","2","2",60499.666094773,0,60499.666094773,0
"2013","2","3",127328.1232578,0,127328.1232578,0
"2013","2","4",41947.5852356,0,41947.5852356,0
"2013","2","5",139003.84419682,0,139003.84419682,0
"2013","2","6",93154.58864918,1592.69162163,91561.89702755,6105.317882915
"2013","2","7",390664.356306077,146232.569489267,244431.78681681,459128.796772417
"2013","2","8",121036.961643912,36124.4048708504,84912.556773062,131932.722853488
"2013","2","9",68208.7480066636,16246.2446887875,51962.503317764,52150.0376669568
"2014","1","1",0,0,0,0
"2014","1","10",2472.04782090271,1098.90042084271,1373.14740006,7950.54454474426
"2014","1","11",4573.5546962,4573.5546962,0,15550.08596708
"2014","1","12",0,0,0,0
"2014","1","2",0,0,0,0
"2014","1","3",0,0,0,0
"2014","1","4",1442.117378864,0,1442.117378864,0
"2014","1","5",71705.7140178485,17953.0253751185,53752.68864273,59273.8065372763
"2014","1","6",27262.8786527607,3907.06579335272,23355.812859408,11168.3612699549
"2014","1","7",19536.095619139,15476.812566949,4059.28305219,64671.6291412144
"2014","1","8",13160.7147919457,2557.69261096668,10603.022180979,10784.2407570592
"2014","1","9",1632.26170285602,187.084425256016,1445.1772776,1313.33266532678
"2014","2","1",8972.147086098,0,8972.147086098,0
"2014","2","10",110546.991126935,24799.6712712979,85747.319855637,112752.941364674
"2014","2","11",220670.651924038,70827.017964828,149843.633959156,287841.699733933
"2014","2","12",112207.26407335,0,112207.26407335,0
"2014","2","2",26326.67023141,0,26326.67023141,0
"2014","2","3",33577.5711809843,1235.3080445343,32342.26313645,4323.57815574761
"2014","2","4",77576.918432022,0,77576.918432022,0
"2014","2","5",29248.897213936,0,29248.897213936,0
"2014","2","6",61263.566764343,1235.77937478,60027.787389563,2786.6824901289
"2014","2","7",221501.146047867,100179.766034372,121321.380013672,325310.339356857
"2014","2","8",67908.9123727291,26230.2913651121,41678.621007617,88141.1991099759
"2014","2","9",35749.3566454182,5410.1164533092,30339.240192109,16044.7768077169
"2015","1","1",31.280497097,0,31.280497097,0
"2015","1","10",2341.00363334336,206.403350513359,2134.60028283,1191.69299721311
