"year","fl_reg","month","RS_catch","RS_harvest","RS_Discard","RS_weight"
"2007","2","3",744.4503586,0,744.4503586,0
"2007","2","4",591.654376488725,591.654376488725,0,1030.95775106626
"2007","2","5",641.53937902,0,641.53937902,0
"2007","2","6",12812.5541441107,1365.21873211066,11447.335412,1638.26247861864
"2007","2","7",33255.6083494,33255.6083494,0,56719.5203770554
"2007","2","8",7343.67932754,0,7343.67932754,0
"2007","2","9",29811.1938823679,6715.3874833354,23095.80639932,10207.3889748078
"2008","1","1",1065.658338525,0,1065.658338525,0
"2008","1","10",188539.177469389,83331.0971370107,105208.080332367,144520.302060377
"2008","1","11",95916.729368836,0,95916.729368836,0
"2008","1","12",380301.39924264,0,380301.39924264,0
"2008","1","2",351126.955528894,0,351126.955528894,0
"2008","1","3",789002.396991094,0,789002.396991094,0
"2008","1","4",131507.646881976,33788.3890758957,97719.2578059905,50868.7621230007
"2008","1","5",121242.49705125,44527.4742736087,76715.022777705,90215.0371322226
"2008","1","6",601868.351285063,262757.754007104,339110.597277768,529223.210461355
"2008","1","7",549150.205228124,207899.799591819,341250.405636277,434811.008898103
"2008","1","8",295933.776032775,87369.9959126458,208563.780120094,171884.726519482
"2008","1","9",529699.11490995,121083.267951513,408615.846958397,192250.719379891
"2008","2","1",0,0,0,0
"2008","2","10",11808.81599508,0,11808.81599508,0
"2008","2","11",0,0,0,0
"2008","2","12",4401.9225303,0,4401.9225303,0
"2008","2","2",5732.1709513,0,5732.1709513,0
"2008","2","3",23117.75148075,0,23117.75148075,0
"2008","2","4",0,0,0,0
"2008","2","5",0,0,0,0
"2008","2","6",268.929155778771,268.929155778771,0,441.043815477185
"2008","2","7",18868.2612128073,7652.77485389732,11215.48635891,21841.1318902097
"2008","2","8",718.3585179,718.3585179,0,1149.37362864
"2008","2","9",0,0,0,0
"2009","1","1",167644.64481163,0,167644.64481163,0
"2009","1","10",28681.164908436,0,28681.164908436,0
"2009","1","11",33140.929373228,0,33140.929373228,0
"2009","1","12",0,0,0,0
"2009","1","2",462.0377726552,0,462.0377726552,0
"2009","1","3",81563.370197821,0,81563.370197821,0
"2009","1","4",181994.960270785,0,181994.960270785,0
"2009","1","5",536696.015466434,8937.1694402,527758.846026234,21923.678033805
"2009","1","6",817092.658775999,308198.11955413,508894.539221976,517728.995444282
"2009","1","7",1094058.60658357,462090.312464869,631968.294118836,751787.418248611
"2009","1","8",553355.422522704,148331.190933747,405024.231588926,255116.220431605
"2009","1","9",136215.278324844,4881.391716657,131333.886608187,10159.5143935303
"2009","2","1",0,0,0,0
"2009","2","10",174.33701207,0,174.33701207,0
"2009","2","11",182.191313316,0,182.191313316,0
"2009","2","12",68.266597285,0,68.266597285,0
"2009","2","2",7133.6844844,0,7133.6844844,0
"2009","2","3",0,0,0,0
"2009","2","4",180.26098403,0,180.26098403,0
"2009","2","5",71698.962678,0,71698.962678,0
"2009","2","6",49719.13134842,12495.51512172,37223.6162267,16075.9319862908
"2009","2","7",9670.07704001544,5840.66855307544,3829.40848694,21540.8058258752
"2009","2","8",2491.1679522988,2491.1679522988,0,5006.81734857995
"2009","2","9",0,0,0,0
"2010","1","1",298281.133969,0,298281.133969,0
"2010","1","10",566838.169381261,218841.301398643,347996.867984646,571202.217119733
"2010","1","11",850129.23870088,337519.99647347,512609.24222741,760665.20722727
"2010","1","12",875.608569504,0,875.608569504,0
"2010","1","2",578680.531521509,0,578680.531521509,0
"2010","1","3",23373.173669869,0,23373.173669869,0
"2010","1","4",197513.061313399,0,197513.061313399,0
"2010","1","5",359746.523878149,33.801634533,359712.722243616,84.5040863325
