"year","fl_reg","month","RG_catch","RG_harvest","RG_Discard","RG_weight"
"2005","2","2",65097.5157847585,6851.3762574116,58246.139527313,19581.7246155894
"2005","2","3",347655.430838729,12487.0472288175,335168.383610156,53135.350310702
"2005","2","4",234470.813646977,12436.2860469507,222034.527600026,42878.5629538263
"2005","2","5",431866.0888993,44694.2219939593,387171.866905364,116424.534527054
"2005","2","6",379492.989082976,42817.2794713209,336675.70961156,171461.783205351
"2005","2","7",92403.5233153866,17203.8960503934,75199.62726506,46995.7780746461
"2005","2","8",360835.5842989,10082.08503647,350753.49926243,27784.2268607111
"2005","2","9",123736.988279462,16967.5710886817,106769.41719078,60578.2494794127
"2006","1","1",0,0,0,0
"2006","1","10",7390.12698372338,795.466892207376,6594.660091516,3131.49203285205
"2006","1","11",77226.7410239372,7550.53989360119,69676.201130336,29745.977364353
"2006","1","12",34511.4483180885,13916.0287075445,20595.419610544,48619.3949815888
"2006","1","2",190440.050691847,32500.1757831634,157939.874908684,83852.7470903481
"2006","1","3",1526.71301319572,709.800732295719,816.9122809,2288.5976001114
"2006","1","4",77181.4407911702,33939.7685223582,43241.672268812,91368.7365030062
"2006","1","5",216431.306951899,22313.4322063162,194117.874744423,74315.5027658073
"2006","1","6",1105094.51112746,160910.571784716,944183.939341991,571052.040172726
"2006","1","7",26673.0915330821,6723.57691229305,19949.514620754,20661.831905795
"2006","1","8",92388.0516937997,17484.7743161646,74903.277377627,68009.9858189222
"2006","1","9",63703.6106521944,23615.9434532542,40087.6671989402,63497.9950565712
"2006","2","1",182138.994939508,4481.03747263366,177657.957466874,14715.7961492918
"2006","2","10",33071.4440908399,2558.56150479694,30512.882586043,5321.13733952862
"2006","2","11",36304.09979822,0,36304.09979822,0
"2006","2","12",130229.65822377,1400.3000433,128829.35818047,3472.744107384
"2006","2","2",65445.2991966745,9364.69885746053,56080.600339214,28777.8856003688
"2006","2","3",57382.9235924054,3555.98432677535,53826.93926563,11555.8917367371
"2006","2","4",31769.8266082678,5109.12515589684,26660.701452371,11442.3692200475
"2006","2","5",124310.087141704,8493.45794581586,115816.62919549,31809.5735722764
"2006","2","6",82412.9776702625,11584.0190519625,70828.9586183,43572.8043690531
"2006","2","7",2265.72304193,873.82302697,1391.90001496,1459.2844550399
"2006","2","8",21191.48835146,0,21191.48835146,0
"2006","2","9",32289.3086711831,2217.21840525306,30072.09026593,8292.39683590029
"2007","1","1",12.4437205941841,12.4437205941841,0,34.8424176595476
"2007","1","10",10867.0932001282,2758.38756061025,8108.705639518,7939.39493867218
